disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
roseola,high fever,runny nose,rash,irritability,cough,red eyes,abdominal pain,feverish,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,fever,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,headache,dehydration,loss of appetite,muscle aches,feverish,chills,,
scarlet fever,fever,strawberry tongue,pale skin around lips,fever (100.4�f / 38.0�c or higher),difficulty swallowing,nausea or vomiting,,,,,,
roseola,runny nose,irritability,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,,,
shigellosis (bacillary dysentery),diarrhea,bloody stools,stomach cramps,headache,fatigue,dehydration,muscle aches,body aches,chills,joint pain,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,dehydration,loss of appetite,muscle aches,feverish,chills,,,,
norovirus infection,stomach cramps,nausea,fatigue,sweating,body aches,fever,irritability,,,,,
common cold,"stuffy, runny nose",sneezing,watering eyes,sore throat,chills,watery discharge from nose that thickens and turns yellow or green,,,,,,
roseola,high fever,rash,swollen lymph nodes,headache,cough,red eyes,loss of appetite,abdominal pain,rashes,chills,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,headache,dehydration,sweating,body aches,rashes,irritability,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,feverish,,
roseola,high fever,rash,fatigue,sore throat,headache,cough,red eyes,loss of appetite,body aches,rashes,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,headache,body aches,feverish,rashes,,,
"hand, foot, and mouth disease",sores in mouth,irritability,sore throat,blisters,fatigue,cough,sore muscles,general discomfort,,,,
norovirus infection,stomach cramps,muscle aches,fatigue,abdominal pain,loss of appetite,sweating,body aches,fever,,,,
roseola,high fever,irritability,fatigue,swollen lymph nodes,red eyes,diarrhea,loss of appetite,rashes,chills,feverish,,
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,red spots,fatigue,sore muscles,headache,mild fever,,,,,
roseola,high fever,rash,irritability,fatigue,swollen lymph nodes,headache,cough,diarrhea,vomiting,loss of appetite,,
norovirus infection,diarrhea,stomach cramps,nausea,fatigue,chills,body aches,rashes,fever,,,,
roseola,runny nose,rash,irritability,fatigue,sore throat,cough,red eyes,diarrhea,loss of appetite,rashes,,
roseola,high fever,runny nose,fatigue,vomiting,rashes,chills,feverish,,,,,
roseola,runny nose,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,feverish,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,headache,fatigue,loss of appetite,body aches,rashes,chills,joint pain,
roseola,rash,irritability,headache,cough,diarrhea,loss of appetite,rashes,chills,,,,
roseola,high fever,rash,irritability,swollen lymph nodes,headache,red eyes,vomiting,loss of appetite,body aches,chills,feverish,
roseola,runny nose,rash,irritability,fatigue,sore throat,cough,red eyes,diarrhea,loss of appetite,body aches,rashes,chills
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,stomach cramps,headache,dehydration,loss of appetite,body aches,feverish,general discomfort,chills,joint pain
roseola,high fever,rash,cough,red eyes,vomiting,loss of appetite,abdominal pain,,,,,
roseola,high fever,runny nose,rash,sore throat,abdominal pain,body aches,chills,,,,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,loss of appetite,dehydration,chills,sweating,body aches,rashes,irritability,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,muscle aches,feverish,rashes,general discomfort,chills,
mumps,headache,"swollen, painful salivary glands",pain while chewing or swallowing,fever,tiredness,loss of appetite,headache,muscle aches,tiredness,loss of appetite,,
scarlet fever,sore throat,red lines in body folds,red rash on the body,pale skin around lips,difficulty swallowing,"tender, enlarged neck glands",nausea or vomiting,headache and body aches,,,,
roseola,runny nose,rash,irritability,swollen lymph nodes,sore throat,cough,vomiting,loss of appetite,feverish,,,
norovirus infection,diarrhea,stomach cramps,muscle aches,fatigue,loss of appetite,chills,irritability,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,fatigue,loss of appetite,body aches,rashes,,,
roseola,runny nose,rash,irritability,fatigue,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,feverish
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,stomach cramps,fatigue,muscle aches,rashes,chills,,,
shigellosis (bacillary dysentery),diarrhea,fatigue,loss of appetite,muscle aches,general discomfort,chills,joint pain,,,,,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,cough,red eyes,loss of appetite,abdominal pain,body aches,rashes,feverish,
norovirus infection,diarrhea,vomiting,nausea,abdominal pain,dehydration,chills,sweating,body aches,fever,irritability,,
"hand, foot, and mouth disease",loss of appetite,irritability,sore throat,red spots,blisters,fatigue,headache,,,,,
roseola,runny nose,fatigue,swollen lymph nodes,sore throat,headache,cough,diarrhea,vomiting,loss of appetite,feverish,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,feverish,general discomfort,joint pain,
roseola,rash,fatigue,swollen lymph nodes,sore throat,vomiting,body aches,,,,,,
roseola,high fever,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,vomiting,loss of appetite,abdominal pain,body aches,chills
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,rashes,joint pain,,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,loss of appetite,mouth sores,fatigue,sore muscles,mild fever,,,,
norovirus infection,diarrhea,vomiting,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,rashes,fever,irritability
shigellosis (bacillary dysentery),nausea,stomach cramps,headache,fatigue,muscle aches,feverish,chills,,,,,
roseola,high fever,irritability,swollen lymph nodes,sore throat,cough,diarrhea,vomiting,loss of appetite,abdominal pain,feverish,,
roseola,high fever,irritability,fatigue,headache,cough,vomiting,abdominal pain,chills,feverish,,,
norovirus infection,diarrhea,vomiting,stomach cramps,headache,fatigue,chills,body aches,fever,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,headache,dehydration,muscle aches,feverish,joint pain,,
norovirus infection,diarrhea,fatigue,loss of appetite,general discomfort,,,,,,,,
norovirus infection,diarrhea,vomiting,nausea,headache,fatigue,loss of appetite,dehydration,chills,sweating,fever,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,irritability,sore throat,blisters,headache,difficulty swallowing,,,,
roseola,high fever,swollen lymph nodes,sore throat,cough,red eyes,body aches,rashes,feverish,,,,
pertussis (whooping cough),nasal discharge,fever,"sore, watery eyes",sneezing,severe coughing fits,vomiting after coughing,,,,,,
norovirus infection,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes,fever,irritability
scarlet fever,red lines in body folds,strawberry tongue,fever (100.4�f / 38.0�c or higher),sore and red throat with patches,difficulty swallowing,"tender, enlarged neck glands",abdominal pain,headache and body aches,,,,
norovirus infection,diarrhea,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,dehydration,sweating,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,dehydration,body aches,feverish,rashes,general discomfort,chills,
roseola,high fever,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,loss of appetite,abdominal pain,,,
"hand, foot, and mouth disease",fever,sore throat,red spots,headache,general discomfort,mild fever,,,,,,
scarlet fever,swollen glands,fever,red lines in body folds,red rash on the body,strawberry tongue,difficulty swallowing,"tender, enlarged neck glands",nausea or vomiting,abdominal pain,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,fatigue,body aches,feverish,rashes,general discomfort,joint pain,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,headache,fatigue,dehydration,loss of appetite,general discomfort,chills,joint pain,
roseola,high fever,runny nose,swollen lymph nodes,sore throat,headache,abdominal pain,chills,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,fatigue,muscle aches,body aches,feverish,general discomfort,joint pain,,
"hand, foot, and mouth disease",irritability,red spots,blisters,sore muscles,mild fever,,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,loss of appetite,muscle aches,body aches,general discomfort,chills,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,stomach cramps,headache,fatigue,loss of appetite,muscle aches,body aches,chills,joint pain
norovirus infection,diarrhea,fatigue,abdominal pain,sweating,body aches,general discomfort,fever,irritability,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,fatigue,dehydration,muscle aches,feverish,joint pain,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,fatigue,feverish,rashes,general discomfort,joint pain,
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,feverish,general discomfort,joint pain
roseola,runny nose,sore throat,cough,red eyes,loss of appetite,body aches,feverish,,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,irritability,mouth sores,cough,headache,,,,,,
mumps,headache,"swollen, painful salivary glands",pain while chewing or swallowing,muscle aches,trouble chewing,muscle aches,loss of appetite,,,,,
roseola,high fever,runny nose,headache,red eyes,loss of appetite,body aches,rashes,,,,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,headache,dehydration,loss of appetite,muscle aches,feverish,rashes,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,stomach cramps,headache,loss of appetite,muscle aches,body aches,feverish,rashes,chills,
norovirus infection,diarrhea,low-grade fever,muscle aches,dehydration,sweating,rashes,general discomfort,irritability,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,headache,fatigue,dehydration,loss of appetite,body aches,general discomfort,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,fatigue,dehydration,muscle aches,rashes,joint pain,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,headache,fatigue,abdominal pain,loss of appetite,dehydration,general discomfort,fever,
norovirus infection,diarrhea,low-grade fever,muscle aches,dehydration,,,,,,,,
mumps,pain while chewing or swallowing,muscle aches,tiredness,muscle aches,,,,,,,,
shigellosis (bacillary dysentery),nausea,bloody stools,loss of appetite,muscle aches,feverish,rashes,chills,,,,,
norovirus infection,diarrhea,nausea,headache,fatigue,loss of appetite,dehydration,chills,body aches,general discomfort,irritability,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,stomach cramps,headache,loss of appetite,muscle aches,body aches,feverish,rashes,,
roseola,high fever,runny nose,rash,fatigue,headache,red eyes,vomiting,loss of appetite,abdominal pain,body aches,feverish,
norovirus infection,diarrhea,vomiting,muscle aches,headache,abdominal pain,dehydration,sweating,rashes,fever,irritability,,
roseola,runny nose,irritability,fatigue,headache,rashes,feverish,,,,,,
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,irritability,sore throat,mouth sores,blisters,fatigue,headache,general discomfort,mild fever,difficulty swallowing,
shigellosis (bacillary dysentery),headache,dehydration,body aches,feverish,rashes,general discomfort,chills,,,,,
roseola,runny nose,irritability,sore throat,headache,red eyes,diarrhea,body aches,chills,,,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,fatigue,sweating,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,fatigue,dehydration,,,,,
roseola,swollen lymph nodes,sore throat,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,feverish,,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,vomiting,abdominal pain,rashes,feverish
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,stomach cramps,headache,loss of appetite,rashes,general discomfort,chills,,,
roseola,runny nose,vomiting,loss of appetite,abdominal pain,chills,,,,,,,
norovirus infection,diarrhea,low-grade fever,fatigue,sweating,general discomfort,fever,,,,,,
norovirus infection,diarrhea,vomiting,muscle aches,nausea,headache,fatigue,abdominal pain,fever,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,fatigue,abdominal pain,loss of appetite,dehydration,general discomfort,fever,,
norovirus infection,diarrhea,vomiting,low-grade fever,headache,chills,rashes,fever,,,,,
"hand, foot, and mouth disease",sores in mouth,irritability,red spots,fatigue,sore muscles,headache,difficulty swallowing,,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,irritability,fatigue,cough,sore muscles,headache,mild fever,,,,
roseola,high fever,runny nose,rash,sore throat,cough,red eyes,vomiting,feverish,,,,
"hand, foot, and mouth disease",fever,sore throat,mouth sores,blisters,fatigue,cough,headache,general discomfort,mild fever,,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,abdominal pain,dehydration,chills,sweating,irritability,,,
